"Path","Lines","SizeKB"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\PageToolbar.tsx","49","1.32"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\ProductSelector.tsx","240","11.55"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\ProgressBar.tsx","50","1.4"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\QuantityInput.tsx","84","2.71"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\RadioButton.tsx","72","2.29"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\RejectionReasonDialog.tsx","67","1.69"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\SearchableDropdown.tsx","242","8.88"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\SearchInput.tsx","81","2.75"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\SplashScreen.tsx","67","2.33"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\StatusBadge.tsx","55","2.44"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\Stepper.tsx","129","4.11"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\TableActions.tsx","61","1.76"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\Tabs.tsx","137","3.97"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\Toast.tsx","94","2.86"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\Tooltip.tsx","71","2.03"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\VoiceRealtimeChat.tsx","336","14.76"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\auth.ts","58","1.95"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\client.ts","75","2.84"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\cost-codes.ts","8","0.31"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\customers.ts","96","3.81"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\dashboard.ts","533","20.18"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\goods-receiving.ts","118","4.67"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\hr.ts","205","10.63"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\notifications.ts","34","1.09"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\permissions.ts","141","4.99"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\products.ts","66","2.16"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\projects.ts","48","1.69"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\purchase-invoices.ts","62","2.26"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\purchase-orders.ts","79","2.77"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\purchase-quotations.ts","69","2.42"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\purchase-requests.ts","100","3.41"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\quotation-requests.ts","43","1.5"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\suppliers.ts","79","2.5"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\tasks.ts","119","6.81"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\users.ts","149","5.16"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\api\violations.ts","76","3"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\hooks\use-auth.ts","87","3.12"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\hooks\use-locale.ts","39","1.53"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\hooks\use-pending-counts.ts","28","0.95"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\hooks\use-permissions.ts","46","1.97"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\hooks\use-realtime.ts","63","2.67"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\hooks\use-table-state.ts","61","1.8"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\hooks\use-toast.ts","100","2.55"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\hooks\use-websocket.ts","25","0.93"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\hooks\use-websocket-manager.ts","83","3.18"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\i18n\translations.ts","632","53.84"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\i18n\useT.ts","13","0.52"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\providers\query-provider.tsx","21","0.66"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\store\auth-store.ts","67","2.36"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\store\ui-store.ts","27","0.88"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\types\form-data.ts","337","9.93"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\utils\cn.ts","5","0.17"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\utils\export-excel.ts","60","2.22"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\utils\format.ts","41","1.1"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\utils\image-url.ts","41","1.52"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\utils\permissions.ts","66","2.15"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\utils\status-colors.ts","71","1.79"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\utils\validation.ts","163","4.41"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\lib\utils\workflow-guards.ts","258","6.83"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\next.config.ts","42","0.9"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\next-env.d.ts","5","0.25"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\proxy.ts","19","0.73"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\types\index.ts","828","21.67"
